model,subset,group,metric,k,n,base,filler,gain,win,lose,p
gpt-6-astra:low,HLE all,hle,correct,300,2157,0.22624014835419565,0.3101529902642559,0.08391284191006027,220,39,8.279168491897428e-32
gpt-6-astra:low,HLE all,hle,correct,1000,2157,0.22624014835419565,0.32591562355122855,0.0996754751970329,254,39,8.304117721257823e-40
gpt-6-astra:low,HLE all,hle,judge,300,2157,0.27816411682892905,0.38618451553082983,0.10802039870190078,281,48,3.220426481432372e-41
gpt-6-astra:low,HLE all,hle,judge,1000,2157,0.27816411682892905,0.40658321743161796,0.1284191006026889,326,49,2.5328997072730073e-51
gpt-6-astra:low,HLE exactMatch,hle,correct,300,1644,0.15206812652068127,0.2427007299270073,0.09063260340632603,175,26,2.54909807850696e-28
gpt-6-astra:low,HLE exactMatch,hle,correct,1000,1644,0.15206812652068127,0.2542579075425791,0.10218978102189782,195,27,1.3648893805611083e-32
gpt-6-astra:low,HLE exactMatch,hle,judge,300,1644,0.22019464720194648,0.3424574209245742,0.12226277372262773,236,35,8.586044936307659e-38
gpt-6-astra:low,HLE exactMatch,hle,judge,1000,1644,0.22019464720194648,0.36009732360097324,0.13990267639902676,267,37,3.869827499174465e-44
gpt-6-astra:low,HLE multipleChoice,hle,correct,300,513,0.46393762183235865,0.5263157894736842,0.06237816764132553,45,13,3.011590962911926e-05
gpt-6-astra:low,HLE multipleChoice,hle,correct,1000,513,0.46393762183235865,0.5555555555555556,0.09161793372319693,59,12,1.3477668518977772e-08
gpt-6-astra:low,HLE multipleChoice,hle,judge,300,513,0.46393762183235865,0.5263157894736842,0.06237816764132553,45,13,3.011590962911926e-05
gpt-6-astra:low,HLE multipleChoice,hle,judge,1000,513,0.46393762183235865,0.5555555555555556,0.09161793372319693,59,12,1.3477668518977772e-08
gpt-6-astra:low,HLE Biology/Medicine,hle-cat,correct,300,222,0.32432432432432434,0.34234234234234234,0.018018018018018,10,6,0.454498291015625
gpt-6-astra:low,HLE Biology/Medicine,hle-cat,correct,1000,222,0.32432432432432434,0.36936936936936937,0.04504504504504503,14,4,0.0308837890625
gpt-6-astra:low,HLE Biology/Medicine,hle-cat,judge,300,222,0.33783783783783783,0.36936936936936937,0.03153153153153154,13,6,0.1670684814453125
gpt-6-astra:low,HLE Biology/Medicine,hle-cat,judge,1000,222,0.33783783783783783,0.4009009009009009,0.06306306306306309,20,6,0.009355306625366211
gpt-6-astra:low,HLE Chemistry,hle-cat,correct,300,101,0.1485148514851485,0.2376237623762376,0.0891089108910891,9,0,0.00390625
gpt-6-astra:low,HLE Chemistry,hle-cat,correct,1000,101,0.1485148514851485,0.21782178217821782,0.06930693069306931,9,2,0.0654296875
gpt-6-astra:low,HLE Chemistry,hle-cat,judge,300,101,0.19801980198019803,0.297029702970297,0.09900990099009899,14,4,0.0308837890625
gpt-6-astra:low,HLE Chemistry,hle-cat,judge,1000,101,0.19801980198019803,0.2871287128712871,0.08910891089108908,13,4,0.049041748046875
gpt-6-astra:low,HLE Computer Science/AI,hle-cat,correct,300,224,0.24553571428571427,0.30357142857142855,0.058035714285714274,18,5,0.010622024536132812
gpt-6-astra:low,HLE Computer Science/AI,hle-cat,correct,1000,224,0.24553571428571427,0.3392857142857143,0.09375000000000003,26,5,0.00019219517707824707
gpt-6-astra:low,HLE Computer Science/AI,hle-cat,judge,300,224,0.27232142857142855,0.3392857142857143,0.06696428571428575,21,6,0.005924612283706665
gpt-6-astra:low,HLE Computer Science/AI,hle-cat,judge,1000,224,0.27232142857142855,0.36607142857142855,0.09375,27,6,0.0003240634687244892
gpt-6-astra:low,HLE Engineering,hle-cat,correct,300,64,0.125,0.140625,0.015625,2,1,1.0
gpt-6-astra:low,HLE Engineering,hle-cat,correct,1000,64,0.125,0.140625,0.015625,2,1,1.0
gpt-6-astra:low,HLE Engineering,hle-cat,judge,300,64,0.140625,0.171875,0.03125,3,1,0.625
gpt-6-astra:low,HLE Engineering,hle-cat,judge,1000,64,0.140625,0.203125,0.0625,5,1,0.21875
gpt-6-astra:low,HLE Humanities/Social Science,hle-cat,correct,300,193,0.3316062176165803,0.41450777202072536,0.08290155440414504,22,6,0.0037191659212112427
gpt-6-astra:low,HLE Humanities/Social Science,hle-cat,correct,1000,193,0.3316062176165803,0.43005181347150256,0.09844559585492224,25,6,0.0008779102936387062
gpt-6-astra:low,HLE Humanities/Social Science,hle-cat,judge,300,193,0.3626943005181347,0.45077720207253885,0.08808290155440412,24,7,0.003326892852783203
gpt-6-astra:low,HLE Humanities/Social Science,hle-cat,judge,1000,193,0.3626943005181347,0.46632124352331605,0.10362694300518133,26,6,0.0005350527353584766
gpt-6-astra:low,HLE Math,hle-cat,correct,300,975,0.2205128205128205,0.3343589743589744,0.11384615384615387,127,16,1.251737097644932e-22
gpt-6-astra:low,HLE Math,hle-cat,correct,1000,975,0.2205128205128205,0.3517948717948718,0.13128205128205128,142,14,7.710156133461741e-28
gpt-6-astra:low,HLE Math,hle-cat,judge,300,975,0.2923076923076923,0.4379487179487179,0.1456410256410256,161,19,3.2134006834732375e-29
gpt-6-astra:low,HLE Math,hle-cat,judge,1000,975,0.2923076923076923,0.4605128205128205,0.16820512820512817,182,18,2.567529911241726e-35
gpt-6-astra:low,HLE Other,hle-cat,correct,300,176,0.17045454545454544,0.2897727272727273,0.11931818181818185,23,2,1.9431114196777344e-05
gpt-6-astra:low,HLE Other,hle-cat,correct,1000,176,0.17045454545454544,0.3068181818181818,0.13636363636363638,27,3,8.430331945419312e-06
gpt-6-astra:low,HLE Other,hle-cat,judge,300,176,0.17613636363636365,0.3125,0.13636363636363635,26,2,3.032386302947998e-06
gpt-6-astra:low,HLE Other,hle-cat,judge,1000,176,0.17613636363636365,0.3352272727272727,0.15909090909090906,31,3,7.660128176212311e-07
gpt-6-astra:low,HLE Physics,hle-cat,correct,300,202,0.14356435643564355,0.17326732673267325,0.0297029702970297,9,3,0.14599609375
gpt-6-astra:low,HLE Physics,hle-cat,correct,1000,202,0.14356435643564355,0.16831683168316833,0.024752475247524774,9,4,0.266845703125
gpt-6-astra:low,HLE Physics,hle-cat,judge,300,202,0.24257425742574257,0.3217821782178218,0.07920792079207922,19,3,0.0008554458618164062
gpt-6-astra:low,HLE Physics,hle-cat,judge,1000,202,0.24257425742574257,0.32673267326732675,0.08415841584158418,22,5,0.0015137195587158203
gpt-6-astra:low,LB AMPS_Hard,lb,correct,300,150,0.5066666666666667,0.58,0.07333333333333325,12,1,0.00341796875
gpt-6-astra:low,LB AMPS_Hard,lb,correct,1000,150,0.5066666666666667,0.5733333333333334,0.06666666666666665,11,1,0.00634765625
gpt-6-astra:low,LB cta,lb,correct,300,50,0.72,0.68,-0.039999999999999925,1,3,0.625
gpt-6-astra:low,LB cta,lb,correct,1000,50,0.72,0.72,0.0,3,3,1.0
gpt-6-astra:low,LB math_comp,lb,correct,300,146,0.7876712328767124,0.9315068493150684,0.14383561643835607,21,0,9.5367431640625e-07
gpt-6-astra:low,LB math_comp,lb,correct,1000,146,0.7876712328767124,0.9452054794520548,0.15753424657534243,24,1,1.5497207641601562e-06
gpt-6-astra:low,LB olympiad,lb,correct,300,72,0.5972222222222222,0.6388888888888888,0.04166666666666663,4,1,0.375
gpt-6-astra:low,LB olympiad,lb,correct,1000,72,0.5972222222222222,0.6388888888888888,0.04166666666666663,3,0,0.25
gpt-6-astra:low,LB spatial,lb,correct,300,50,0.68,0.82,0.1399999999999999,8,1,0.0390625
gpt-6-astra:low,LB spatial,lb,correct,1000,50,0.68,0.82,0.1399999999999999,8,1,0.0390625
gpt-6-astra:low,LB web_of_lies_v2,lb,correct,300,50,1.0,1.0,0.0,0,0,1.0
gpt-6-astra:low,LB web_of_lies_v2,lb,correct,1000,50,1.0,1.0,0.0,0,0,1.0
gpt-6-astra:low,LB zebra_puzzle,lb,correct,300,100,0.52,0.71,0.18999999999999995,24,5,0.0005461126565933228
gpt-6-astra:low,LB zebra_puzzle,lb,correct,1000,100,0.52,0.74,0.21999999999999997,27,5,0.00011307420209050179
gpt-6-astra:low,LiveBench all,lb,correct,300,618,0.656957928802589,0.7524271844660194,0.09546925566343045,70,11,1.1828221854912694e-11
gpt-6-astra:low,LiveBench all,lb,correct,1000,618,0.656957928802589,0.7621359223300971,0.10517799352750812,76,11,4.211350509515077e-13
gpt-6-astra:low,LB data_analysis all,lb-cat,correct,300,50,0.72,0.68,-0.039999999999999925,1,3,0.625
gpt-6-astra:low,LB data_analysis all,lb-cat,correct,1000,50,0.72,0.72,0.0,3,3,1.0
gpt-6-astra:low,LB math all,lb-cat,correct,300,368,0.6358695652173914,0.7309782608695652,0.09510869565217384,37,2,2.841261448338628e-09
gpt-6-astra:low,LB math all,lb-cat,correct,1000,368,0.6358695652173914,0.7336956521739131,0.09782608695652173,38,2,1.4933903003111482e-09
gpt-6-astra:low,LB reasoning all,lb-cat,correct,300,200,0.68,0.81,0.13,32,6,2.4342560209333897e-05
gpt-6-astra:low,LB reasoning all,lb-cat,correct,1000,200,0.68,0.825,0.1449999999999999,35,6,4.873598300036974e-06
